,ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etfname,date
6496,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES,Information Technology,Equity,"46,792,332.00",0.09,"46,792,332.00","296,154.00",158.00,Israel,NASDAQ,USD,1.00,USD,"Jun 28, 1996",EFA,20240612
6497,1605,INPEX CORP,Energy,Equity,"46,694,227.19",0.09,"46,694,227.19","3,063,043.00",15.24,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6498,SDZ,SANDOZ GROUP AG,Health Care,Equity,"46,604,447.88",0.09,"46,604,447.88","1,306,479.00",35.67,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6499,8267,AEON LTD,Consumer Staples,Equity,"46,554,906.13",0.09,"46,554,906.13","2,086,600.00",22.31,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6500,6971,KYOCERA CORP,Information Technology,Equity,"46,509,712.12",0.09,"46,509,712.12","4,057,100.00",11.46,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6501,GBP,GBP CASH,Cash and/or Derivatives,Cash,"46,156,140.79",0.08,"46,156,140.79","35,945,750.00",128.40,United Kingdom,-,USD,0.78,GBP,-,EFA,20240612
6502,SEK,SEK CASH,Cash and/or Derivatives,Cash,"45,939,766.40",0.08,"45,939,766.40","473,287,552.00",9.71,Sweden,-,USD,10.30,SEK,-,EFA,20240612
6503,9101,NIPPON YUSEN,Industrials,Equity,"45,881,387.72",0.08,"45,881,387.72","1,507,400.00",30.44,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6504,STMN,STRAUMANN HOLDING AG,Health Care,Equity,"45,853,478.28",0.08,"45,853,478.28","356,154.00",128.75,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6505,SCMN,SWISSCOM AG,Communication,Equity,"45,696,404.76",0.08,"45,696,404.76","82,645.00",552.92,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6506,SHB A,SVENSKA HANDELSBANKEN-A SHS,Financials,Equity,"45,694,319.94",0.08,"45,694,319.94","4,654,067.00",9.82,Sweden,Nasdaq Omx Nordic,USD,10.30,SEK,-,EFA,20240612
6507,MONC,MONCLER,Consumer Discretionary,Equity,"45,671,304.84",0.08,"45,671,304.84","701,484.00",65.11,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240612
6508,6326,KUBOTA CORP,Industrials,Equity,"45,576,831.73",0.08,"45,576,831.73","3,191,300.00",14.28,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6509,COH,COCHLEAR LTD,Health Care,Equity,"45,396,896.35",0.08,"45,396,896.35","208,979.00",217.23,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6510,NXT,NEXT PLC,Consumer Discretionary,Equity,"44,991,257.83",0.08,"44,991,257.83","381,850.00",117.82,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6511,KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,Industrials,Equity,"44,961,328.88",0.08,"44,961,328.88","154,121.00",291.73,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6512,SGSN,SGS SA,Industrials,Equity,"44,840,087.10",0.08,"44,840,087.10","478,305.00",93.75,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6513,SUN,SUNCORP GROUP LTD,Financials,Equity,"44,830,009.74",0.08,"44,830,009.74","4,059,724.00",11.04,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6514,7182,JAPAN POST BANK LTD,Financials,Equity,"44,671,840.56",0.08,"44,671,840.56","4,572,700.00",9.77,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6515,PNDORA,PANDORA,Consumer Discretionary,Equity,"44,458,564.86",0.08,"44,458,564.86","277,528.00",160.19,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.88,DKK,-,EFA,20240612
